DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16S-S05-N03	P16S	5	B	20050111T00:00	-150	-18	-999	440			D (TRACE METAL)	-999	3	extracted 1/21/05 MM	0.01133701	1.0931317435335
P16S-S05-N05	P16S	5	B	20050111T00:00	-150	-18	-999	220			D (TRACE METAL)	-999	5	extracted 1/21/05 MM	0.02756134	2.0991776392215
P16S-S05-N08	P16S	5	B	20050111T00:00	-150	-18	-999	90			D (TRACE METAL)	-999	8	extracted 1/21/05 MM	0.02085346	7.13129345371595
P16S-S05-N10	P16S	5	B	20050111T00:00	-150	-18	-999	55			D (TRACE METAL)	-999	10	extracted 1/21/05 MM	0.01791702	8.28824623375715
P16S-S05-N11	P16S	5	B	20050111T00:00	-150	-18	-999	35			D (TRACE METAL)	-999	11	extracted 1/21/05 MM	0.01401434	7.11683154396543
P16S-S05-N12	P16S	5	B	20050111T00:00	-150	-18	-999	20			D (TRACE METAL)	-999	12	extracted 1/21/05 MM	0.01509984	6.92065259430627
P16S-S05-N14	P16S	5	B	20050111T00:00	-150	-18	-999	170			D (TRACE METAL)	-999	14	extracted 1/21/05 MM	0.0253272	2.6386697507842
P16S-S05-N15	P16S	5	B	20050111T00:00	-150	-18	-999	120			D (TRACE METAL)	-999	15	extracted 1/21/05 MM	0.0329147	7.74938290087927
P16S-S104-N21	P16S	104	B	20050208T00:00	-150	-67.5007	-999	420			D	-999	21	extracted 2/17/05 MM	0.17012757	2.53572911091381
P16S-S104-N23	P16S	104	B	20050208T00:00	-150	-67.5007	-999	320			D	-999	23	extracted 2/17/05 MM	0.09379536	1.70631608990092
P16S-S104-N25	P16S	104	B	20050208T00:00	-150	-67.5007	-999	220			D	-999	25	extracted 2/17/05 MM	0.079263	3.97173770142448
P16S-S104-N27	P16S	104	B	20050208T00:00	-150	-67.5007	-999	120			D	-999	27	extracted 2/17/05 MM	0.09355236	4.89825922369469
P16S-S104-N28	P16S	104	B	20050208T00:00	-150	-67.5007	-999	90			D	-999	28	extracted 2/17/05 MM	0.08024332	6.52116842278966
P16S-S104-N29	P16S	104	B	20050208T00:00	-150	-67.5007	-999	55			D	-999	29	extracted 2/17/05 MM	0.04059921	14.5233080024256
P16S-S104-N30	P16S	104	B	20050208T00:00	-150	-67.5007	-999	35			D	-999	30	extracted 2/17/05 MM	0.1237827	25.5464531485735
P16S-S104-N31	P16S	104	B	20050208T00:00	-150	-67.5007	-999	0			D	-999	31	extracted 2/17/05 MM	0.15193295	27.5937131956286
P16S-S15-N03	P16S	15	B	20050113T00:00	-150	-23	-999	485			TRACE METAL	-999	3	extracted 1/21/05 MM	0.07964314	1.42575566779535
P16S-S15-N05	P16S	15	B	20050113T00:00	-150	-23	-999	235			TRACE METAL	-999	5	extracted 1/21/05 MM	0.01712065	3.46551372130278
P16S-S15-N08	P16S	15	B	20050113T00:00	-150	-23	-999	105			TRACE METAL	-999	8	extracted 1/21/05 MM	0.03622921	9.6885363648179
P16S-S15-N09	P16S	15	B	20050113T00:00	-150	-23	-999	85			TRACE METAL	-999	9	extracted 1/21/05 MM	0.02310514	9.92118447819575
P16S-S15-N10	P16S	15	B	20050113T00:00	-150	-23	-999	65			TRACE METAL	-999	10	extracted 1/21/05 MM	0.02462788	7.39035027185561
